train_loss,train_acc,val_loss,val_acc,TP,TN,FP,FN
1.0195306763613134,0.7164461247637051,0.9164508499261987,0.9292543021032504,349,623,9,65
0.8539105752356967,0.9376181474480151,0.7780744829250656,0.9617590822179732,379,627,5,35
0.7418204286044702,0.9584120982986768,0.6848051930201873,0.9694072657743786,387,627,5,27
0.6642647650008812,0.9555765595463138,0.6203796153760138,0.9674952198852772,387,625,7,27
0.6108045649707765,0.9603024574669187,0.575790754711355,0.9674952198852772,387,625,7,27
0.576771728974536,0.9603024574669187,0.5460475892511033,0.9665391969407265,387,624,8,27
0.550077510059328,0.9612476370510397,0.5272759590440124,0.9665391969407265,387,624,8,27
0.5321127525845865,0.9669187145557656,0.5165744228217438,0.9665391969407265,387,624,8,27
0.5284456525530133,0.9669187145557656,0.5115062335065304,0.9665391969407265,387,624,8,27
0.5227526327721158,0.9716446124763705,0.5098688256649571,0.9665391969407265,387,624,8,27
