,0
0,4.339359419686454
1,3.9002785909743536
2,3.649099804106213
3,3.5282154423849925
4,3.411382788703555
5,3.340703248977661
6,3.2663478397187733
7,3.2435963494437083
8,3.1815931569962275
9,3.162082944597517
10,3.124164887837001
11,3.1188403084164573
12,3.0996729192279635
13,3.064238366626558
14,3.0582166626339866
15,3.0602479094550725
16,3.0335914975120906
17,3.0331385022117976
18,3.0132345926193964
19,3.005249261856079
20,2.991614023844401
21,2.974789403733753
22,2.9640209788367864
23,2.9559406212397983
24,2.953403495606922
25,2.938691252753848
26,2.928696700504848
27,2.9173452059427896
28,2.9098747117178783
29,2.9095947515396845
30,2.90826339948745
31,2.8929220721835183
32,2.883070162364415
33,2.877706663949149
34,2.878245819182623
35,2.862084593091692
36,2.85293401990618
37,2.865697463353475
38,2.8497170834314254
39,2.8297785690852573
40,2.8297640709649947
41,2.81872364452907
42,2.829999742053804
43,2.8131161757877896
44,2.7957483246212913
45,2.8001289708273753
46,2.796518189566476
47,2.793329045886085
48,2.797957102457682
49,2.7767495541345504
