,0
0,4.294139589582171
1,3.6570132232847667
2,3.348687909898304
3,3.23064280691601
4,3.1606665338788713
5,3.0922898337954567
6,3.059206565221151
7,3.041260424114409
8,2.9833057267325267
9,2.971854879742577
10,2.946814571108137
11,2.9014677093142556
12,2.87408793540228
13,2.870980205990019
14,2.858579703739711
15,2.8424639247712635
16,2.818243912288121
17,2.8268135615757535
18,2.780942474092756
19,2.7918272472563244
20,2.7747053532373336
21,2.764017763591948
22,2.760079951513381
23,2.7590128921327137
24,2.746672278358823
25,2.7239934035709927
26,2.7174577031816756
27,2.735035362697783
28,2.7102980386643183
29,2.715735662551153
30,2.710977384022304
31,2.691609098797753
32,2.6819764091855003
33,2.6904993057250977
34,2.6720461504799977
35,2.666230553672427
36,2.670241128830683
37,2.6668196746281216
38,2.640868595668248
39,2.6500449294135686
40,2.6456905887240456
41,2.6525506405603316
42,2.6537689708528065
43,2.62983657064892
44,2.6244675431932722
45,2.6050974073864164
46,2.5975285598209927
47,2.6041510218665715
48,2.5985361280895414
49,2.5984767391568138
