,0
0,4.580505643572126
1,4.537817387353806
2,4.490868818192255
3,4.442796139490037
4,4.40217771984282
5,4.349957647777739
6,4.29362694422404
7,4.239266282036191
8,4.185116268339611
9,4.124889827909923
10,4.069987614949544
11,4.014045976457142
12,3.961884089878627
13,3.9043912433442616
14,3.863731179918562
15,3.8201086861746654
16,3.7704278287433444
17,3.735601300284976
18,3.6988624958764937
19,3.6481505121503557
20,3.611266851425171
21,3.5774515583401634
22,3.5410858449481784
23,3.526999212446667
24,3.494680234364101
25,3.463949271610805
26,3.4291624909355525
27,3.4080287388392856
28,3.380920728047689
29,3.355376061939058
30,3.314400706972395
31,3.2954546496981667
32,3.274323032015846
33,3.2413583255949474
34,3.235937447774978
35,3.212052651814052
36,3.1816935425712947
37,3.1489994639442083
38,3.1358879861377535
39,3.107114939462571
40,3.09187152272179
41,3.0761468296959285
42,3.0633817513783774
43,3.0365364778609503
44,3.0024701867784773
45,2.994840905779884
46,2.969731580643427
47,2.9547685782114663
48,2.9472374007815407
49,2.9087018966674805
50,2.891535861151559
51,2.8832880655924478
52,2.865223929995582
53,2.8515702996935164
54,2.840560413542248
55,2.8249753543308804
56,2.8068130243392218
57,2.797397556759062
58,2.7847466468811035
59,2.778084811710176
60,2.75919585000901
61,2.7586577165694464
62,2.7382599058605375
63,2.732170366105579
64,2.7217389742533364
65,2.709027744474865
66,2.698389802660261
67,2.685024454480126
68,2.681488264174688
69,2.669575089500064
70,2.663955188932873
71,2.662860529763358
72,2.649115119661604
73,2.654409260976882
74,2.658493609655471
75,2.6533573127928234
76,2.645466304960705
77,2.6470065911610923
78,2.65471389180138
79,2.6522738138834634
